City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,kovel,51.2153,24.7087,12.25,78,57,4.25,UA,1728431441
221,shahrud,36.4182,54.9763,15.62,35,6,0.98,IR,1728431442
222,la ronge,55.1001,-105.2842,17.14,42,40,4.63,CA,1728431443
223,machina,13.1364,10.0492,29.0,49,98,2.06,NG,1728431444
224,arraial do cabo,-22.9661,-42.0278,21.98,100,0,4.12,BR,1728431446
225,yendi,9.4427,-0.0099,24.32,88,90,0.5,GH,1728431447
226,bandeirantes,-23.11,-50.3675,29.77,20,68,1.17,BR,1728431448
227,nemuro,43.3236,145.575,13.39,68,100,4.77,JP,1728431449
228,talcahuano,-36.7167,-73.1167,14.82,77,0,3.09,CL,1728431450
229,muli,2.9167,73.5667,28.17,77,100,10.14,MV,1728431451
230,juneau,58.3019,-134.4197,9.0,81,75,0.0,US,1728431452
231,motueka,-41.1333,173.0167,15.61,44,20,4.03,NZ,1728431454
232,sanchazi,42.0817,126.6003,9.65,57,0,1.57,CN,1728431455
233,klyuchi,52.2667,79.1667,12.09,45,96,6.97,RU,1728431456
234,codrington,-38.2667,141.9667,13.24,51,0,4.49,AU,1728431457
235,alto piquiri,-24.0281,-53.4406,31.19,21,77,2.65,BR,1728431458
236,larache,35.1932,-6.1557,19.67,85,53,1.73,MA,1728431459
237,uturoa,-16.7333,-151.4333,26.01,78,96,7.73,PF,1728431461
238,ad darb,17.7229,42.2526,30.3,68,21,1.16,SA,1728431462
239,port alfred,-33.5906,26.891,16.77,94,47,0.45,ZA,1728431463
240,yatagan,37.3403,28.1428,17.1,58,0,0.55,TR,1728431464
241,kingston,17.997,-76.7936,31.53,70,75,3.6,JM,1728431183
242,covington,39.0837,-84.5086,17.36,54,0,0.37,US,1728431466
243,gojra,31.1487,72.6866,25.54,39,12,2.58,PK,1728431468
244,general acha,-37.377,-64.6043,15.16,34,99,4.89,AR,1728431347
245,san pedro pochutla,15.7333,-96.4667,27.62,88,95,1.62,MX,1728431470
246,jiayuguan,39.8167,98.3,9.38,46,49,2.46,CN,1728431471
247,lamu,-2.2717,40.902,25.0,85,69,6.26,KE,1728431472
248,kaiapoi,-43.3783,172.6401,18.59,36,9,6.69,NZ,1728431473
249,mejit,10.2753,170.8646,28.3,75,85,3.83,MH,1728431476
